PERMNO,date,VOL,RET,vwretd,ewretd,sprtrn
18542,20080701,9202900,0.003658,0.001835,-0.006281,0.003836
18542,20080702,11513200,-0.049534,-0.020979,-0.018104,-0.018204
18542,20080703,7280700,-0.001562,-0.002414,-0.006058,0.001094
18542,20080707,11684900,0.007111,-0.00858,-0.011638,-0.008385
18542,20080708,10498000,-0.018359,0.017031,0.018354,0.01708
18542,20080709,7059200,-0.015537,-0.019371,-0.014158,-0.022776
18542,20080710,9874200,-0.000146,0.007651,0.002293,0.00699
18542,20080711,11521700,0.020316,-0.008285,-0.003134,-0.01109
18542,20080714,6406200,-0.002005,-0.008213,-0.012314,-0.009028
18542,20080715,11041700,-0.037749,-0.011497,-0.009188,-0.010901
18542,20080716,10684200,0.052058,0.024045,0.026523,0.025064
18542,20080717,9091200,0.024387,0.009661,0.016424,0.012013
18542,20080718,7693400,-0.013086,0.000356,0.000886,0.000286
18542,20080721,10185100,0.033009,0.003976,0.006922,-0.000539
18542,20080722,12433900,0.023897,0.011134,0.015198,0.013492
18542,20080723,9295700,-0.034143,0.001832,0.006601,0.004064
18542,20080724,8108600,-0.036454,-0.024307,-0.018608,-0.023125
18542,20080725,4727200,0.010032,0.005544,0.006381,0.004168
18542,20080728,5740500,-0.018303,-0.016525,-0.013748,-0.018597
18542,20080729,5234600,0.026015,0.021244,0.016848,0.023356
18542,20080730,4820400,0.015213,0.016488,0.006791,0.016672
18542,20080731,7185400,-0.035382,-0.011709,-0.002699,-0.013144
18542,20080801,6723600,-0.01985,-0.005174,-0.000643,-0.005578
18542,20080804,7415700,-0.01042,-0.013364,-0.012175,-0.008966
18542,20080805,6008700,0.011123,0.024489,0.013529,0.028719
18542,20080806,7390700,0.034174,0.005722,0.006614,0.003354
18542,20080807,7077800,-0.022408,-0.016834,-0.012514,-0.017934
18542,20080808,6544300,0.02858,0.019178,0.015856,0.023893
18542,20080811,3746800,-0.00141,0.006662,0.010688,0.006943
18542,20080812,5713000,0.014265,-0.009628,-0.005649,-0.012051
18542,20080813,9399200,-0.027573,-0.000113,0.002639,-0.002916
18542,20080814,5671200,0.006587,0.005063,0.006583,0.005522
18542,20080815,5060700,0.000854,0.001344,-0.00084,0.004076
18542,20080818,5527400,-0.016063,-0.013381,-0.009901,-0.015098
18542,20080819,4299700,-0.007657,-0.008866,-0.011698,-0.009315
18542,20080820,6401900,0.001601,0.00686,0.002737,0.006197
18542,20080821,5100700,-0.001454,0.003188,-0.002198,0.002495
18542,20080822,4258000,0.022853,0.009519,0.009552,0.011333
18542,20080825,4549800,-0.024335,-0.018542,-0.015097,-0.019625
18542,20080826,3391500,0.00175,0.003556,0.002901,0.003686
18542,20080827,3145000,0.012813,0.00958,0.008219,0.007983
18542,20080828,5520600,0.030477,0.014314,0.013386,0.01484
18542,20080829,4905300,-0.013253,-0.011673,-0.003383,-0.013724
18542,20080902,6973400,-0.023328,-0.006992,-0.003504,-0.004093
18542,20080903,8433300,-0.019543,-0.002963,-0.000438,-0.002035
